FFTBin#,Frequency (Hz),Ch0 Mean (db),Ch0 Std Dev(db),Ch1 Mean (db),Ch1 Std Dev(db)
154,414.5142,-0.2049,5.5018,0.1043,5.7649
155,417.2058,1.3443,5.8349,1.5980,5.7395
156,419.8975,2.8045,5.8689,2.7875,5.5996
157,422.5891,1.6598,6.0351,1.7637,5.8130
158,425.2808,2.7651,5.7471,2.9641,5.5969
159,427.9724,1.3607,6.8982,0.8923,7.3117
160,430.6641,2.0514,3.7881,2.0206,3.5194
161,433.3557,1.1572,3.7160,1.3121,3.5694
162,436.0474,3.3077,2.2442,2.9890,2.2294
163,438.7390,3.3306,5.0167,3.2583,4.9312
164,441.4307,-0.5596,4.3598,-0.4097,4.3018
165,444.1223,-2.1068,5.8389,-1.9090,6.0027
166,446.8140,-0.9220,4.5125,-0.9928,4.4409
167,449.5056,-3.2556,3.8367,-3.3301,3.6974
168,452.1973,-7.0137,4.5370,-6.5704,4.7712
169,454.8889,-4.7215,4.2985,-3.9915,3.8721
170,457.5806,-1.9069,3.8901,-1.3889,3.7986
171,460.2722,-2.5598,4.6645,-2.3635,4.8813
172,462.9639,-3.0491,4.6355,-3.3628,4.7579
173,465.6555,-2.5451,5.3941,-2.6102,5.4488
174,468.3472,-0.4997,4.9497,-0.3591,4.9387
175,471.0388,-1.0732,4.6861,-1.0145,4.8642
176,473.7305,-1.0287,4.2232,-0.8340,4.0283
177,476.4221,-3.4347,5.2302,-3.4812,5.2931
178,479.1138,-4.4528,5.7130,-4.5167,5.3861
179,481.8054,-4.2268,5.9440,-3.7621,5.8258
180,484.4971,-1.4747,4.2573,-1.3346,4.2688
181,487.1887,-1.3785,3.3577,-1.3132,3.6346
182,489.8804,-1.4850,4.1399,-1.6639,4.4547
183,492.5720,-2.7860,3.9498,-2.4599,3.7029
184,495.2637,-6.9871,5.3304,-7.4901,5.6640
185,497.9553,-5.7748,5.0956,-5.9761,5.4200
186,500.6470,-4.6693,4.7900,-4.9949,4.9935
187,503.3386,-4.5612,4.3298,-4.5503,4.2124
188,506.0303,-5.9764,7.1064,-6.0550,7.0124
189,508.7219,-5.9995,5.4953,-6.0521,5.4702
190,511.4136,-3.7344,4.1731,-4.0719,4.2559
191,514.1052,-2.3823,5.0523,-2.7382,5.3571
192,516.7969,-2.2258,5.0060,-2.6066,5.0250
193,519.4885,-2.4360,4.9982,-2.1898,5.1035
194,522.1802,-2.7341,3.9300,-2.1784,3.9079
195,524.8718,-3.6148,4.6558,-3.1442,4.2730
196,527.5635,-3.3585,5.8035,-3.1913,5.7887
197,530.2551,-2.9806,6.0287,-2.6302,6.3968
198,532.9468,-1.2682,5.3726,-1.2889,5.2280
199,535.6384,-0.8163,6.1683,-0.6308,6.1076
200,538.3301,1.6348,4.4142,1.7841,4.3550
201,541.0217,1.1215,5.3695,1.4148,5.2911
202,543.7134,-1.4410,5.6078,-1.6100,5.6464
203,546.4050,-5.5549,6.6753,-5.8638,7.0457
204,549.0967,-6.2005,4.2834,-6.5542,3.8771
205,551.7883,-8.0589,6.5302,-8.3632,6.4349
206,554.4800,-9.5193,5.5307,-9.3843,5.2277
207,557.1716,-7.9730,4.0778,-8.0440,4.1801
208,559.8633,-7.8398,5.5742,-7.5100,4.9623
209,562.5549,-6.4935,4.8378,-6.2586,4.5483
210,565.2466,-5.8665,3.1595,-5.9971,3.6902
211,567.9382,-8.2317,4.6468,-8.0537,4.7141
212,570.6299,-8.5051,4.2540,-8.2009,4.7227
213,573.3215,-8.0665,4.8206,-8.7739,5.5465
214,576.0132,-5.8563,4.7628,-6.3935,5.0978
215,578.7048,-6.6369,4.9691,-6.5534,4.7694
216,581.3965,-7.0178,5.2665,-6.6673,5.0791
217,584.0881,-5.5711,4.9131,-6.0298,5.2651
218,586.7798,-5.5717,3.4206,-5.3461,4.1008
219,589.4714,-8.7913,5.4528,-9.0596,5.8059
220,592.1631,-7.3913,4.7149,-7.2920,4.9914
221,594.8547,-7.4114,6.5528,-7.4211,7.0941
222,597.5464,-6.4483,4.1859,-6.2912,4.0593
223,600.2380,-5.1678,3.4122,-5.2672,3.8133
224,602.9297,-4.3498,3.1552,-4.1525,3.0191
225,605.6213,-5.6021,6.2838,-5.3409,6.3815
226,608.3130,-4.8182,5.0189,-4.7337,4.6728
227,611.0046,-5.9629,7.0127,-5.8439,7.2398
228,613.6963,-3.9452,4.7657,-4.2469,4.6493
229,616.3879,-6.3697,4.0431,-6.0292,3.9493
230,619.0796,-5.2594,4.0615,-5.7913,4.3281
231,621.7712,-4.8519,5.7375,-4.9999,5.3539
232,624.4629,-4.0222,4.9123,-4.0242,4.7876
233,627.1545,-3.8385,5.4944,-3.9978,5.7494
234,629.8462,-3.6060,5.5707,-3.4846,5.3850
235,632.5378,-3.0737,4.0669,-3.1330,3.9932
236,635.2295,-3.4466,5.6458,-3.6257,6.1722
237,637.9211,-6.7498,8.1898,-6.8854,8.2382
238,640.6128,-5.2214,6.1398,-5.2532,6.5965
239,643.3044,-4.7896,6.3220,-4.6399,6.0213
240,645.9961,-1.7055,4.5586,-1.4482,4.6333
241,648.6877,-5.0733,5.8682,-5.0291,5.9692
242,651.3794,-1.6391,4.1060,-1.3588,3.5781
243,654.0710,-1.2406,5.4581,-1.2229,5.3898
244,656.7627,-2.2070,6.2376,-2.2341,6.2582
245,659.4543,-1.8618,4.7131,-2.0819,4.5384
246,662.1460,-2.0788,5.0044,-2.3159,5.5335
247,664.8376,-4.0160,4.6183,-4.0283,4.8564
248,667.5293,-5.1465,6.2220,-5.2482,6.4279
249,670.2209,-5.8000,6.4790,-5.2732,6.7646
250,672.9126,-4.6578,4.4260,-4.3423,4.5617
251,675.6042,-6.5471,7.5368,-6.4585,7.1303
252,678.2959,-3.6588,3.8154,-3.7437,4.1070
253,680.9875,-3.8316,5.2168,-3.9376,5.2188
254,683.6792,-6.0093,6.6240,-5.8261,5.9207
255,686.3708,-2.0624,4.1427,-2.5053,4.3250
256,689.0625,-2.3638,4.2670,-2.6758,5.0300
257,691.7542,-4.4410,5.3938,-4.9684,5.9900
258,694.4458,-5.2513,5.2365,-5.7192,5.1909
259,697.1375,-4.5738,6.8144,-4.8855,6.5401
260,699.8291,-6.5726,5.4182,-6.4115,7.1993
261,702.5208,-4.6190,4.8382,-4.6374,4.6962
262,705.2124,-5.8909,6.7474,-6.0200,6.7280
263,707.9041,-5.4823,6.7894,-5.6531,7.1499
264,710.5957,-9.4866,6.1237,-9.4178,6.4574
265,713.2874,-10.1356,5.1174,-10.6286,5.7685
266,715.9790,-9.0730,5.6200,-9.0829,6.2482
267,718.6707,-8.5497,5.1675,-8.2166,5.5476
268,721.3623,-6.8333,3.1772,-7.1387,3.8287
269,724.0540,-7.4950,5.0286,-7.2259,5.1645
270,726.7456,-7.5601,5.5400,-7.7395,4.8564
271,729.4373,-5.6863,3.7224,-5.6408,3.4262
272,732.1289,-5.4858,6.4259,-5.4736,6.3577
273,734.8206,-6.0212,4.7300,-6.3022,4.9965
274,737.5122,-7.4654,4.5119,-6.8178,4.4764
275,740.2039,-6.4928,3.4608,-5.8573,4.0532
276,742.8955,-5.0378,5.5993,-5.2359,5.2365
277,745.5872,-5.7636,5.6807,-5.4120,5.8673
278,748.2788,-2.8115,3.6303,-3.2087,4.2248
279,750.9705,-4.4169,4.0003,-4.3933,3.9977
280,753.6621,-8.0312,6.4452,-7.6503,6.1615
281,756.3538,-9.2530,5.4885,-8.7185,4.6588
282,759.0454,-8.3525,5.6419,-8.8214,5.6829
283,761.7371,-4.9154,4.7240,-4.6113,4.4028
284,764.4287,-5.7505,5.7523,-5.6934,5.7550
285,767.1204,-6.4141,6.7098,-6.8358,6.6974
286,769.8120,-5.3172,4.6410,-5.9871,4.9071
287,772.5037,-3.8734,5.5151,-4.2772,5.8679
288,775.1953,-5.4662,5.2901,-5.4118,5.0504
289,777.8870,-8.6892,4.5938,-8.4708,4.2396
290,780.5786,-10.0685,7.4515,-10.6045,6.9441
291,783.2703,-9.7890,5.9094,-9.5088,5.6247
292,785.9619,-8.3093,4.9278,-8.1025,5.0018
293,788.6536,-9.4836,6.8717,-8.9405,6.0931
294,791.3452,-8.2195,5.5909,-8.4360,5.6803
295,794.0369,-7.0479,5.9413,-7.2594,4.6543
296,796.7285,-5.1895,4.4790,-4.9291,4.8134
297,799.4202,-2.8206,3.9044,-2.6900,4.3080
298,802.1118,-4.2305,4.9188,-4.5130,5.1606
299,804.8035,-3.8750,4.6989,-4.3552,5.2625
300,807.4951,-5.4352,6.0977,-5.5695,6.5854
301,810.1868,-7.0329,4.4307,-6.1680,6.0707
302,812.8784,-8.8202,5.5919,-8.4761,5.9186
303,815.5701,-8.0858,4.7574,-8.1939,4.9231
304,818.2617,-7.8940,5.2710,-7.4218,5.0460
305,820.9534,-6.6871,4.7133,-6.4410,4.3530
306,823.6450,-4.1115,4.7783,-4.0992,4.9349
307,826.3367,-3.0231,4.5505,-2.8966,4.6413
308,829.0283,-4.3594,4.3998,-4.1531,4.2862
309,831.7200,-8.8218,5.7823,-8.6463,6.4582
310,834.4116,-6.9491,5.5188,-6.7850,4.8493
311,837.1033,-5.3277,4.7001,-5.2307,4.7901
312,839.7949,-5.0884,6.9832,-4.7961,6.6012
313,842.4866,-5.8717,6.3879,-5.7818,5.2876
314,845.1782,-5.6300,6.0100,-5.9032,5.4788
315,847.8699,-3.2661,5.0358,-3.0390,5.3441
316,850.5615,-5.3638,7.4499,-5.6543,6.0944
317,853.2532,-6.5370,6.0033,-7.0114,6.8208
318,855.9448,-9.9355,5.9482,-9.7662,6.2062
319,858.6365,-10.2957,7.8810,-10.6867,8.0742
320,861.3281,-9.1683,6.1706,-8.1039,6.5572
321,864.0198,-7.6063,4.6324,-7.3780,5.1474
322,866.7114,-7.9259,6.4230,-8.2303,6.9765
323,869.4031,-4.8987,7.2319,-4.6183,5.7827
324,872.0947,-4.7875,6.2602,-4.8422,5.5288
325,874.7864,-5.7388,7.4769,-5.3932,7.4095
326,877.4780,-3.3509,6.6383,-3.7972,6.6449
327,880.1697,-0.4730,3.7021,-0.5195,4.2154
328,882.8613,-1.8093,5.7861,-1.7260,6.1341
329,885.5530,-3.1969,4.4052,-3.3729,4.9208
330,888.2446,-5.7167,5.3253,-5.7448,5.2239
331,890.9363,-5.2629,5.6501,-5.2356,5.4141
332,893.6279,-7.8637,6.0045,-7.4471,6.5414
333,896.3196,-7.3489,5.5736,-7.7146,5.6014
334,899.0112,-3.0486,4.3912,-3.3142,4.7796
335,901.7029,-4.8105,6.6207,-4.9041,7.0761
336,904.3945,-3.9125,4.3574,-4.1343,4.7308
337,907.0862,-7.5905,6.0449,-7.8281,6.3646
338,909.7778,-7.9558,7.3432,-8.1574,7.4502
339,912.4695,-4.5554,4.7892,-4.6428,5.0168
340,915.1611,-2.9643,4.1043,-2.8043,4.4685
341,917.8528,-3.9961,5.2506,-3.6442,5.0122
342,920.5444,-6.8820,4.0331,-6.6010,4.1252
343,923.2361,-5.4096,3.3525,-5.2344,4.6386
344,925.9277,-6.0240,4.6884,-6.0426,3.8805
345,928.6194,-8.5329,5.2489,-8.4466,5.2643
346,931.3110,-9.3454,6.8106,-9.4856,7.5811
347,934.0027,-4.2886,5.8433,-4.7578,5.7962
348,936.6943,-3.1297,4.0224,-3.1590,4.0210
349,939.3860,-5.4407,7.3449,-5.6551,8.5112
350,942.0776,-4.7676,8.0052,-5.0467,8.1773
351,944.7693,-6.9240,6.6714,-6.2741,6.1770
352,947.4609,-5.5604,5.6770,-5.8378,5.7467
353,950.1526,-4.8282,7.8531,-4.8970,7.9741
354,952.8442,-5.0481,9.2354,-5.4444,6.3283
355,955.5359,-2.7789,6.5794,-3.1143,6.4605
356,958.2275,-4.7847,5.6201,-4.5892,5.4574
357,960.9192,-4.9357,7.7659,-5.2480,7.8227
358,963.6108,-2.2288,5.5862,-2.3409,5.8799
359,966.3025,-1.4329,5.4354,-0.7984,4.6573
360,968.9941,-4.8557,6.1140,-4.4671,5.9345
361,971.6858,-4.1849,5.9342,-4.4330,5.9046
362,974.3774,-5.5312,4.8063,-5.4198,4.5907
363,977.0691,-8.3584,4.3643,-8.8896,4.9904
364,979.7607,-6.3407,7.4013,-6.8922,6.7581
365,982.4524,-2.8398,5.5883,-2.7180,3.8999
366,985.1440,-3.2218,5.7084,-3.1122,5.7591
367,987.8357,-2.3727,4.8217,-2.3827,4.8689
368,990.5273,-2.5613,3.2497,-2.8210,3.5855
369,993.2190,-4.0127,4.9270,-4.2595,5.0889
370,995.9106,-4.7443,4.2056,-4.4160,4.0174
371,998.6023,-4.8503,2.7261,-4.9174,3.2971
372,1001.2939,-8.3037,5.1445,-8.3751,5.2394
373,1003.9856,-7.4585,5.8042,-7.1277,5.6724
374,1006.6772,-8.3839,4.0066,-8.4768,3.8025
375,1009.3689,-10.7620,6.2861,-10.5005,5.4699
376,1012.0605,-8.8254,4.6794,-8.5303,4.8034
377,1014.7522,-6.7899,6.0320,-6.7097,5.8239
378,1017.4438,-4.5182,4.0072,-4.2060,4.7834
379,1020.1355,-6.1897,4.4053,-5.6284,4.0656
380,1022.8271,-8.0907,5.0704,-8.3593,4.6693
381,1025.5188,-9.1229,5.3927,-9.7062,5.5267
382,1028.2104,-9.4062,4.8015,-9.6315,4.8122
383,1030.9021,-10.0462,7.2070,-9.8132,6.7218
384,1033.5938,-8.5198,5.2709,-8.8131,5.6672
385,1036.2854,-5.2470,4.3279,-5.1994,4.1218
386,1038.9771,-6.2829,5.3418,-6.3601,5.3338
387,1041.6687,-6.9940,4.0087,-7.1956,3.5234
388,1044.3604,-9.7369,6.0460,-9.1667,4.9051
389,1047.0520,-7.2987,4.8263,-7.3909,4.6599
390,1049.7437,-6.2366,4.5975,-6.1522,4.6604
391,1052.4353,-6.9957,4.8551,-7.0537,4.3313
392,1055.1270,-7.0905,3.8249,-6.5119,3.4798
393,1057.8186,-7.2132,3.4171,-7.6326,4.4581
394,1060.5103,-8.9175,4.9717,-8.5998,4.5956
395,1063.2019,-7.6572,3.4868,-7.4487,3.4777
396,1065.8936,-4.0443,3.4705,-4.0364,3.4982
397,1068.5852,-3.5658,4.8552,-3.1628,4.5289
398,1071.2769,-6.7358,6.8256,-6.2947,6.5620
399,1073.9685,-6.3341,5.5667,-6.0674,5.3254
400,1076.6602,-3.2692,4.4089,-3.3296,4.3464
401,1079.3518,-3.4241,4.3293,-3.6917,4.4627
402,1082.0435,-3.6657,3.4462,-3.5489,3.4276
403,1084.7351,-3.0172,3.1061,-3.3715,3.0660
404,1087.4268,-4.1178,3.1511,-4.3489,3.3067
405,1090.1184,-5.9375,3.8693,-6.3747,3.5621
406,1092.8101,-6.7223,4.6390,-7.1857,5.0265
407,1095.5017,-8.0003,5.6932,-8.3878,5.5620
408,1098.1934,-7.2178,6.1930,-7.2431,5.9739
409,1100.8850,-8.2643,5.6455,-8.6794,4.6567
410,1103.5767,-7.2023,5.6123,-7.4962,5.2306
411,1106.2683,-4.8077,4.9299,-4.6269,4.7985
412,1108.9600,-6.7035,5.6193,-6.9374,5.7554
413,1111.6516,-6.2193,5.5347,-6.0136,5.6874
414,1114.3433,-8.5270,4.9248,-7.8371,4.2679
415,1117.0349,-7.6502,5.0587,-7.9030,4.9673
416,1119.7266,-7.6919,5.4657,-6.6657,6.3301
417,1122.4182,-9.0679,5.9491,-9.7153,6.8121
418,1125.1099,-9.1477,4.0546,-9.6371,4.9746
419,1127.8015,-8.9417,3.9811,-9.4411,4.5909
420,1130.4932,-9.2156,4.9692,-9.1363,4.9223
421,1133.1848,-11.4343,7.1545,-11.8466,7.1147
422,1135.8765,-7.7794,5.6796,-7.2994,4.9498
423,1138.5681,-9.9590,5.3626,-9.8462,5.1962
424,1141.2598,-9.7581,4.9750,-9.5487,6.2914
425,1143.9514,-10.3893,4.7724,-10.1385,4.8875
426,1146.6431,-9.9056,3.9656,-10.1397,4.1776
427,1149.3347,-9.7679,5.2889,-10.1642,5.3350
428,1152.0264,-9.0185,4.4270,-9.1722,4.5254
429,1154.7180,-7.6359,4.3463,-7.2869,4.9552
430,1157.4097,-10.4489,5.6369,-10.5807,6.1667
431,1160.1013,-9.4108,4.6796,-8.9232,4.4381
432,1162.7930,-8.0056,6.8782,-7.5630,6.6312
433,1165.4846,-7.8829,4.6265,-8.2112,4.2645
434,1168.1763,-6.9829,5.3544,-6.7067,5.5406
435,1170.8679,-9.2158,6.5236,-8.8267,6.7231
436,1173.5596,-10.7327,4.3022,-10.4540,4.4490
437,1176.2512,-8.3402,4.3116,-8.2201,4.1054
438,1178.9429,-5.4116,4.1407,-5.4038,4.1446
439,1181.6345,-7.5039,6.5191,-6.9562,7.2446
440,1184.3262,-6.1269,3.7937,-5.8969,3.2317
441,1187.0178,-9.1369,4.2509,-8.8158,4.1983
442,1189.7095,-8.6273,3.8418,-8.4820,3.6289
443,1192.4011,-6.5367,2.6440,-7.1313,3.4678
